date, light
2025/1/22 22:44:16,  8882
2025/1/22 22:54:16,  10594
2025/1/22 23:4:16,  10562
2025/1/22 23:14:16,  8065
2025/1/22 23:24:16,  8610
2025/1/22 23:34:16,  8177
2025/1/22 23:44:16,  11554
2025/1/22 23:54:16,  8498
2025/1/23 0:4:16,  10306
2025/1/23 0:14:16,  10514
2025/1/23 0:24:16,  11874
2025/1/23 0:34:16,  11298
2025/1/23 0:44:16,  10274
2025/1/23 0:54:16,  11362
2025/1/23 1:4:16,  8834
2025/1/23 1:14:16,  8530
2025/1/23 1:24:16,  9826
2025/1/23 1:34:16,  8177
2025/1/23 1:44:16,  11538
2025/1/23 1:54:16,  9986
2025/1/23 2:4:16,  11426
2025/1/23 2:14:16,  8962
2025/1/23 2:24:16,  11874
2025/1/23 2:34:16,  11906
2025/1/23 2:44:16,  11474
2025/1/23 2:54:16,  8530
2025/1/23 3:4:16,  10242
2025/1/23 3:14:16,  9362
2025/1/23 3:24:16,  8418
2025/1/23 3:34:16,  9890
2025/1/23 3:44:16,  11906
2025/1/23 3:54:16,  8434
2025/1/23 4:4:16,  9010
2025/1/23 4:14:16,  11714
2025/1/23 4:24:16,  9794
2025/1/23 4:34:16,  11346
2025/1/23 4:44:16,  10530
2025/1/23 4:54:16,  8001
2025/1/23 5:4:16,  11042
2025/1/23 5:14:16,  11650
2025/1/23 5:24:16,  11666
2025/1/23 5:34:16,  8978
2025/1/23 5:44:16,  9922
2025/1/23 5:54:16,  9666
2025/1/23 6:4:16,  9538
2025/1/23 6:14:16,  11330
2025/1/23 6:24:16,  10370
2025/1/23 6:34:16,  10002
2025/1/23 6:44:16,  10978
2025/1/23 6:54:16,  7857
2025/1/23 7:4:16,  10018
2025/1/23 7:14:16,  5825
2025/1/23 7:24:16,  2736
2025/1/23 7:34:16,  1344
2025/1/23 7:44:16,  1552
2025/1/23 7:54:16,  1312
2025/1/23 8:4:16,  1296
2025/1/23 8:14:16,  1344
2025/1/23 8:24:16,  1344
2025/1/23 8:34:16,  1344
